Domain,Website,Category,Topic,Authority Tier,Topical Relevance,Editorial Quality,Publication Opportunity,Submission URL,Contact,Contact Type,Free/Paid,Dofollow Status,Link Policy,Target POWLAB Asset,Contribution Pitch Angle,Status,Date Contacted,Follow-up Date,Published URL,Anchor Text,First Seen,Notes
allaboutcircuits.com,All About Circuits (EETech),Electrical Engineering Community,Circuits & Power Electronics,A,A+,A,Technical Tutorial / Engineering Article,https://www.allaboutcircuits.com/write-for-us/,Technical Content Team,Online Portal,Free,UNKNOWN,Technical tutorials and calculations; contextual links to formulas, wire gauge tables, and calculators allowed,/guides/voltage-drop-and-wire-size-calculation-guide,"Mathematical Derivation of Single-Phase and Three-Phase Voltage Drop with Temperature-Adjusted Resistance",QUALIFIED_PROSPECT,,,,PowerLab Wire Sizing Guide,2026-09-17,"Major global electrical engineering community; paid/contributed technical article program with editorial review"
energy-storage.news,Energy Storage News (Solar Media),Specialist BESS News,Stationary Battery Energy Storage,A,A+,A,Technical Contributor / Commentary,https://www.energy-storage.news/contact-us/,Editorial Team,Editorial Desk,Free,UNKNOWN,Editorial articles; contextual references to technical research and open data benchmarks permitted,/battery/battery-runtime-calculator,"LiFePO4 vs Lead-Acid Peukert Derating Kinetics and Inverter Standby Losses in Commercial Storage Systems",QUALIFIED_PROSPECT,,,,PowerLab Battery Engine,2026-09-17,"Premier global industry news source for utility and C&I stationary energy storage"
pv-magazine.com,PV Magazine International,Solar Specialist Publication,Photovoltaics & Inverters,A,A+,A,Technical Contributor Analysis,https://www.pv-magazine.com/about-us/contact/,Editorial Staff,Editor,Free,UNKNOWN,Technical contributor articles; editorial references to open calculators and datasets permitted,/solar/solar-panel-tilt-calculator,"Cold-Climate Sub-Zero Voc Expansion and MPPT Dielectric Breakdown Risks in Photovoltaic Arrays",QUALIFIED_PROSPECT,,,,PowerLab Solar Research,2026-09-17,"Leading global solar PV trade and engineering publication"
eetimes.com,EE Times (Aspencore),Electronics Engineering Media,Power Electronics & Circuits,A,A+,A,Technical Feature Article,https://www.eetimes.com/contact-us/,Editorial Desk,Editor,Free,UNKNOWN,Engineering analysis; contextual citations to whitepapers and technical reports allowed,/research/continuous-duty-thermal-sizing-evse-ampacity,"Terminal Thermal Ratings (60C vs 75C) and Conductor Joule Heating in Level 2 Continuous-Duty EVSE Circuits",QUALIFIED_PROSPECT,,,,PowerLab EVSE Study,2026-09-17,"Authoritative electronics engineering outlet reaching circuit designers and power systems engineers"
ecmweb.com,EC&M (Electrical Construction & Maintenance),Electrical Contractor Magazine,NEC Code & Electrical Design,A+,A+,A+,NEC Code & Practical Engineering Article,https://www.ecmweb.com/contact-us,Technical Editor,Editor,Free,UNKNOWN,Practical code compliance and engineering articles; contextual links to calculations permitted,/battery/voltage-drop-calculator,"Conductor Terminal Temperature Limitations (60C vs 75C) and Ampacity Derating Under NEC 110.14(C)",QUALIFIED_PROSPECT,,,,PowerLab Electrical Calculations,2026-09-17,"Premier publication for electrical contractors, inspectors, and specifying engineers"
ashrae.org,ASHRAE Journal / Insights,HVAC Engineering Association,Building Energy & HVAC,A+,A+,A+,Technical Committee / Journal Feature,https://www.ashrae.org/about/contact-us,Journal Editor,Editor/Committee,Free,UNKNOWN,Scholarly citation in transactions or reference in technical insights,/research/heat-pump-cop-degradation-and-auxiliary-heat-kinetics,"Cold-Climate Air-Source Heat Pump COP Degradation and Auxiliary Electric Resistance Staging Kinetics",QUALIFIED_PROSPECT,,,,PowerLab HVAC Research,2026-09-17,"Authoritative worldwide building science and HVAC engineering society"
chargedevs.com,Charged EVs,EV Technology Magazine,EVSE & Charging Infrastructure,A,A+,A,Technical Analysis Article,https://chargedevs.com/contact/,Senior Editor,Editor,Free,UNKNOWN,Technical engineering articles; contextual references to whitepapers allowed,/research/continuous-duty-thermal-sizing-evse-ampacity,"Continuous-Duty 125% Thermal Sizing Mechanics in Residential 48A EV Charging Branch Circuits",QUALIFIED_PROSPECT,,,,PowerLab EVSE Whitepaper,2026-09-17,"Leading engineering and trade publication for EV powertrain and charging infrastructure"
csemag.com,Consulting-Specifying Engineer (CFE Media),Building Systems Engineering,Commercial Electrical & HVAC,A,A+,A,Technical Engineering Article,https://www.csemag.com/contact-us/,Chief Editor,Editor,Free,UNKNOWN,Engineering articles; contextual references to calculation frameworks permitted,/research/continuous-duty-thermal-sizing-evse-ampacity,"Commercial EVSE Electrical Feeder Sizing: Continuous Load Derating and Terminal Temperature Envelopes",QUALIFIED_PROSPECT,,,,PowerLab EVSE Ampacity Paper,2026-09-17,"Authoritative magazine for commercial building mechanical and electrical specifying engineers"
ecmag.com,Electrical Contractor Magazine (NECA),Electrical Contracting Media,NEC Installation & Codes,A,A+,A,Codes & Standards Article,https://www.ecmag.com/contact-us,Standards Editor,Editor,Free,UNKNOWN,Technical trade articles; contextual references to engineering guides allowed,/guides/level-2-ev-charging-speed-and-breaker-sizing-guide,"Sizing Level 2 EV Charging Circuits: Why Romex NM-B is Prohibited for 48A Charging Under NEC 334.80",QUALIFIED_PROSPECT,,,,PowerLab EVSE Guide,2026-09-17,"Official publication of the National Electrical Contractors Association (NECA)"
greenbuildingadvisor.com,Green Building Advisor,Building Science Media,Energy Efficiency & Heat Pumps,A,A+,A,Technical Building Science Article,https://www.greenbuildingadvisor.com/contact,Editorial Team,Editor,Free,UNKNOWN,Technical guest articles; contextual links to calculators and guides allowed,/guides/central-ac-and-heat-pump-electricity-cost-guide,"Calculating Cold-Climate Heat Pump Balance Points and Auxiliary Electric Strip Heat Operating Costs",QUALIFIED_PROSPECT,,,,PowerLab Heat Pump Guide,2026-09-17,"Premier building science and high-performance building community"
buildingscience.com,Building Science Corporation,Building Physics Research,Thermal Envelopes & HVAC,A+,A+,A+,Research Citation Reference,https://buildingscience.com/contact,Research Staff,Scientist/Editor,Free,UNKNOWN,Scholarly research citation in building science digests,/research/heat-pump-cop-degradation-and-auxiliary-heat-kinetics,"Cold-Climate Heat Pump COP Degradation and Auxiliary Resistance Staging Dynamics",QUALIFIED_PROSPECT,,,,PowerLab HVAC Paper,2026-09-17,"Renowned building science consulting and research firm led by Dr. Joe Lstiburek"
merlot.org,MERLOT (California State University),Higher-Ed OER Repository,Clean Energy Simulation Tools,A+,A+,A+,Higher-Ed OER Module Cataloging,https://www.merlot.org/,MERLOT Editorial Board,OER Submissions Desk,Free,DOFOLLOW VERIFIED,Institutional OER catalog links to interactive simulations and whitepapers,/research/heat-pump-cop-degradation-and-auxiliary-heat-kinetics,"Published OER simulation tool entries (ID: 824240103, 824240168)",VERIFIED_LIVE,,,,PowerLab Open Energy Research,2026-09-10,"Verified live on CSU MERLOT catalog; dofollow resource links acquired"
figshare.com,Figshare (Digital Science),Open Science Data Repository,Benchmark Datasets & Open Data,A+,A+,A+,Scientific Dataset Deposit (DataCite DOIs),https://figshare.com/,Figshare Repository,Data Desk,Free,DOFOLLOW VERIFIED,DataCite DOI metadata linking canonical URL via IsSupplementTo,/datasets/continuous-duty-evse-terminal-temperature-benchmark,"Published 6 benchmark dataset DOIs (FIG-01 to FIG-06)",VERIFIED_LIVE,,,,PowerLab Open Energy Research,2026-08-26,"Verified live DataCite DOIs active across all 6 benchmark dataset matrices"
huggingface.co,Hugging Face Datasets,Open Data Science Platform,Engineering Datasets,B,A,A,Open Dataset Repository,https://huggingface.co/,Hugging Face Datasets,Repository Portal,Free,NOFOLLOW VERIFIED,Repository card linking companion calculation tool,/datasets/standby-generator-motor-inrush-voltage-sag-benchmark,"Published Motor Inrush LRA Generator Benchmark Dataset (HF-01)",VERIFIED_LIVE,,,,PowerLab Generator Sizing Calculator,2026-09-06,"Verified live repository miadinside/motor-inrush-lra-generator-benchmark-2026"
academia.edu,Academia.edu,Academic Preprint Platform,Engineering Preprints & Working Papers,C,A,A,Preprint & Working Paper Upload,https://www.academia.edu/,Academia.edu,Upload Portal,Free,NOFOLLOW VERIFIED,Preprint author profile and document download page links,/research/continuous-duty-thermal-sizing-evse-ampacity,"Published 6 academic preprints (ACAD-01 to ACAD-06)",VERIFIED_LIVE,,,,PowerLab Research Group,2026-08-26,"Verified live preprints; high indexing velocity across Google Scholar"
saashub.com,SaaSHub,Software Alternatives Directory,Software Tools,D,C,B,Software Profile Listing,https://www.saashub.com/,SaaSHub Editorial,Submission Form,Free,NOFOLLOW VERIFIED,Directory profile listing with homepage URL,https://www.powelab.org/,"Approved product profile under Recently Verified tools",VERIFIED_LIVE,,,,PowerLab,2026-09-12,"Legacy profile; maintained as Tier D catalog entry"
stackscope.dev,StackScope,Developer Tool Directory,Web Tools,D,C,B,Developer Product Listing,https://stackscope.dev/,Directory Admin,Web Form,Free,NOFOLLOW VERIFIED,Directory crawl listing,https://www.powelab.org/sitemap.xml,"Developer product directory crawl verification",LEGACY_BACKLOG,,,,sitemap.xml,2026-08-22,"Demoted to Tier D Legacy Backlog; zero editorial engineering value"
techbasedirectory.com,TechBase Directory,SaaS Directory Aggregator,General Directories,D,D,C,Generic Directory Submission,https://techbasedirectory.com/,Directory Admin,Web Form,Free,NOFOLLOW VERIFIED,Aggregator profile link,https://www.powelab.org/?utm_source=TechBaseDirectory,"SaaS directory aggregator profile",LEGACY_BACKLOG,,,,View Product Website,2026-08-23,"Demoted to Tier D Legacy Backlog; zero editorial engineering value"
